,Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
78,79.0,2.0,4.0,Hillbilly Brand,Yes,Fashion / Beauty,Male,75000,25%,300000,,,,1.0,1.0,,,,2.0,37500,7% royalty
79,80.0,2.0,4.0,Ride-On Carry-On,Yes,Consumer Products,Mixed Team,50000,25%,200000,1.0,,,,,,,,1.0,50000,
80,81.0,2.0,4.0,Uncle Zip's Beef Jerky,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
81,82.0,2.0,5.0,Lightfilm,Yes,Consumer Products,Male,10000,70%,14286,,,,1.0,1.0,,,,2.0,5000,founders receive 75% of the profit's until the $750k was paid back
82,83.0,2.0,5.0,Fridge Fronts,Yes,Lifestyle / Home,Female,100000,50%,200000,1.0,,,,,1.0,,,2.0,50000,magnetic decorative finish for refrigerators; deal did not go through
83,84.0,2.0,5.0,New Era Brands,No,Consumer Products,Male,,,,,,,,,,,,0.0,,clip-on gum and clip-on contact lens cases
84,85.0,2.0,5.0,Thin Gloss,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,weight loss lip gloss
85,86.0,2.0,6.0,Sweep Easy,Yes,Lifestyle / Home,Male,75000,33%,227273,,,,,1.0,,,,1.0,75000,
86,87.0,2.0,6.0,Daisy Cakes,Yes,Food and Beverage,Female,50000,25%,200000,1.0,,,,,,,,1.0,50000,Barbara gets $1 per every cake sold until investment is paid back
87,88.0,2.0,6.0,Hot Mama Gowns,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,luxury maternity gowns
88,89.0,2.0,6.0,Caddy Swag,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0.0,,
89,90.0,2.0,7.0,Hydromax,Yes,Fitness / Sports,Male,50000,50%,100000,,,,,,,,1.0,1.0,50000,
90,91.0,2.0,7.0,Carsik Bib,No,Children / Education,Male,,,,,,,,,,,,0.0,,
91,92.0,2.0,7.0,Ecomowers,No,Green/CleanTech,Male,,,,,,,,,,,,0.0,,
92,93.0,2.0,7.0,Games2U,No,Media / Entertainment,Male,,,,,,,,,,,,0.0,,
93,94.0,2.0,8.0,HyConn,Yes,Uncertain / Other,Male,1250000,100%,1250000,,1.0,,,,,,,1.0,1250000,deal did not go through after show
94,95.0,2.0,8.0,Origaudio,Yes,Software / Tech,Male,150000,15%,1000000,,,,1.0,,,,,1.0,150000,deal did not go through after diligence
95,96.0,2.0,8.0,Man Candle,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
96,97.0,2.0,8.0,Original Runner Company,No,Lifestyle / Home,Female,,,,,,,,,,,,0.0,,
97,98.0,2.0,9.0,Aldo Orta Jewelry,Yes,Fashion / Beauty,Male,180000,45%,400000,1.0,,,,,,1.0,,2.0,90000,
98,99.0,2.0,9.0,One Sole,Yes,Fashion / Beauty,Female,500000,35%,1428571,,,,,1.0,,,,1.0,500000,
99,100.0,2.0,9.0,CitiKitty,Yes,Pet Products,Female,100000,30%,333333,,,,,,,1.0,,1.0,100000,
100,101.0,2.0,9.0,Samson Martin,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
101,102.0,3.0,1.0,EZ VIP,Yes,Media / Entertainment,Male,150000,30%,500000,,1.0,,,1.0,,,,2.0,75000,
102,103.0,3.0,1.0,The Clean Bottle,Yes,Food and Beverage,Male,60000,8%,750000,,1.0,,,,,,,1.0,60000,
103,104.0,3.0,1.0,My Wonderful Life,No,Business Services,Female,,,,,,,,,,,,0.0,,
104,105.0,3.0,1.0,Business Ghost,No,Business Services,Male,,,,,,,,,,,,0.0,,
105,106.0,3.0,2.0,I Want To Draw A Cat For You,Yes,Software / Tech,Male,25000,33%,75758,,1.0,,,,,,,1.0,25000,
106,107.0,3.0,2.0,Salespreneur,No,Business Services,Male,,,,,,,,,,,,0.0,,
107,108.0,3.0,2.0,Invis-A-Rack,No,Consumer Products,Male,,,,,,,,,,,,0.0,,
108,109.0,3.0,2.0,Vegas Magic Show,No,Media / Entertainment,Male,,,,,,,,,,,,0.0,,
109,110.0,3.0,3.0,You Smell Soap,Yes,Fashion / Beauty,Female,50000,50%,100000,,,,1.0,,,,,1.0,50000,deal terms changed after dilligence (http://sharktanksuccess.blogspot.com/2013/07/you-smell-soap-update.html)
110,111.0,3.0,3.0,Chord Buddy,Yes,Media / Entertainment,Male,175000,20%,875000,,,,1.0,,,,,1.0,175000,
111,112.0,3.0,3.0,Liquid Money,No,Consumer Products,Male,,,,,,,,,,,,0.0,,
112,113.0,3.0,3.0,Tail Lightz,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
113,114.0,3.0,4.0,Wine Balloon,Yes,Food and Beverage,Male,400000,100%,400000,,1.0,,,,,,,1.0,400000,deal fell apart after show
114,115.0,3.0,4.0,Show No,Yes,Fashion / Beauty,Female,75000,25%,300000,,,1.0,,,,,,1.0,75000,
115,116.0,3.0,4.0,The Swilt,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
116,117.0,3.0,4.0,Puppy Cake,No,Pet Products,Female,,,,,,,,,,,,0.0,,
117,118.0,3.0,5.0,The Last Lid,Yes,Lifestyle / Home,Mixed Team,40000,60%,66667,,,,,1.0,,,,1.0,40000,
118,119.0,3.0,5.0,Talbott Teas,Yes,Food and Beverage,Male,250000,35%,714286,,,,,,1.0,,,1.0,250000,Acquired by Jamba Juice
119,120.0,3.0,5.0,M3 Girl Designs,Yes,Fashion / Beauty,Female,300000,30%,1000000,,1.0,1.0,1.0,,,,,3.0,100000,
